Rank_Number,Protein_Name,x_OfSpectra_20191003_Yeast_QEHFx_200ng_450nl_80min_01_191004,x_OfSpectra_20191003_Yeast_QEHFx_200ng_450nl_80min_04_191004,x_OfSpectra_20191004_Yeast_QEHFx_200ng_450nl_80min_01_191004,Max_x_OfSpectra,Sum_x_OfSpectra,x_AA_sInProtein,Contaminant
342,>sp|P19414|ACON_YEAST Aconitate hydratase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACO1 PE=1 SV=2,72,72,103,103,247,72,0
343,>sp|P19454|CSK22_YEAST Casein kinase II subunit alpha' OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CKA2 PE=1 SV=2,2,2,5,5,9,2,0
344,>sp|P19524|MYO2_YEAST Myosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MYO2 PE=1 SV=1,8,5,17,17,30,8,0
345,>sp|P19812|UBR1_YEAST E3 ubiquitin-protein ligase UBR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBR1 PE=1 SV=1,1,-Inf,3,3,4,1,0
346,>sp|P19881|PNPP_YEAST 4-nitrophenylphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHO13 PE=1 SV=2,2,3,2,3,7,2,0
347,>sp|P19882|HSP60_YEAST Heat shock protein 60- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP60 PE=1 SV=1,63,55,81,81,199,63,0
348,>sp|P20049|TYR1_YEAST Prephenate dehydrogenase [NADP(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TYR1 PE=1 SV=2,1,-Inf,1,1,2,1,0
349,>sp|P20051|PYRC_YEAST Dihydroorotase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA4 PE=1 SV=2,3,7,5,7,15,3,0
350,>sp|P20081|FKBP_YEAST FK506-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FPR1 PE=1 SV=2,15,13,26,26,54,15,0
351,>sp|P20107|ZRC1_YEAST Zinc/cadmium resistance protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZRC1 PE=1 SV=2,1,1,1,1,3,1,0
352,>sp|P20424|SRP54_YEAST Signal recognition particle subunit SRP54 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRP54 PE=1 SV=2,6,6,9,9,21,6,0
353,>sp|P20434|RPAB1_YEAST DNA-directed RNA polymerases I- II- and III subunit RPABC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB5 PE=1 SV=1,1,1,1,1,3,1,0
354,>sp|P20435|RPAB2_YEAST DNA-directed RNA polymerases I- II- and III subunit RPABC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO26 PE=1 SV=1,4,4,5,5,13,4,0
355,>sp|P20436|RPAB3_YEAST DNA-directed RNA polymerases I- II- and III subunit RPABC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB8 PE=1 SV=1,1,2,2,2,5,1,0
356,>sp|P20447|DBP3_YEAST ATP-dependent RNA helicase DBP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DBP3 PE=1 SV=2,5,6,5,6,16,5,0
357,>sp|P20448|DBP4_YEAST ATP-dependent RNA helicase HCA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HCA4 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
358,>sp|P20449|DBP5_YEAST ATP-dependent RNA helicase DBP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DBP5 PE=1 SV=2,8,9,21,21,38,8,0
359,>sp|P20457|PRI2_YEAST DNA primase large subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRI2 PE=1 SV=1,1,-Inf,-Inf,1,1,1,0
360,>sp|P20459|IF2A_YEAST Eukaryotic translation initiation factor 2 subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUI2 PE=1 SV=1,13,9,17,17,39,13,0
361,>sp|P20485|KICH_YEAST Choline kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CKI1 PE=1 SV=1,3,-Inf,5,5,8,3,0
362,>sp|P20604|PP11_YEAST Serine/threonine-protein phosphatase PP1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIT4 PE=1 SV=1,1,2,4,4,7,1,0
363,>sp|P20606|SAR1_YEAST Small COPII coat GTPase SAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAR1 PE=1 SV=1,5,6,10,10,21,5,0
364,>sp|P20967|ODO1_YEAST 2-oxoglutarate dehydrogenase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD1 PE=1 SV=2,9,4,15,15,28,9,0
365,>sp|P21147|ACO1_YEAST Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OLE1 PE=1 SV=2,2,-Inf,-Inf,2,2,2,0
366,>sp|P21182|DCAM_YEAST S-adenosylmethionine decarboxylase proenzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPE2 PE=1 SV=1,1,-Inf,1,1,2,1,0
367,>sp|P21242|PSA7_YEAST Probable proteasome subunit alpha type-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE10 PE=1 SV=2,9,9,9,9,27,9,0
368,>sp|P21243|PSA1_YEAST Proteasome subunit alpha type-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCL1 PE=1 SV=1,14,11,18,18,43,14,0
369,>sp|P21264|PUR6_YEAST Phosphoribosylaminoimidazole carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE2 PE=1 SV=1,23,23,24,24,70,23,0
370,>sp|P21304|PWP1_YEAST Periodic tryptophan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PWP1 PE=1 SV=1,2,6,8,8,16,2,0
371,>sp|P21306|ATP5E_YEAST ATP synthase subunit epsilon- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP15 PE=1 SV=2,3,3,2,3,8,3,0
372,>sp|P21373|UTR1_YEAST NAD(+) kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UTR1 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
373,>sp|P21375|OSM1_YEAST Fumarate reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OSM1 PE=1 SV=3,-Inf,-Inf,4,4,4,-Inf,0
374,>sp|P21524|RIR1_YEAST Ribonucleoside-diphosphate reductase large chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNR1 PE=1 SV=2,2,-Inf,5,5,7,2,0
375,>sp|P21538|REB1_YEAST DNA-binding protein REB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REB1 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
376,>sp|P21560|CBP3_YEAST Protein CBP3- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CBP3 PE=1 SV=1,1,1,4,4,6,1,0
377,>sp|P21576|VPS1_YEAST Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS1 PE=1 SV=2,27,27,43,43,97,27,0
378,>sp|P21691|SIR1_YEAST Regulatory protein SIR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIR1 PE=1 SV=2,4,4,4,4,12,4,0
379,>sp|P21734|UBC1_YEAST Ubiquitin-conjugating enzyme E2 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBC1 PE=1 SV=1,5,6,9,9,20,5,0
380,>sp|P21825|SEC62_YEAST Translocation protein SEC62 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC62 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
381,>sp|P21827|RCC1_YEAST Guanine nucleotide exchange factor SRM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SRM1 PE=1 SV=1,4,3,7,7,14,4,0
382,>sp|P21954|IDHP_YEAST Isocitrate dehydrogenase [NADP]- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IDP1 PE=1 SV=1,20,17,24,24,61,20,0
383,>sp|P21965|MCK1_YEAST Protein kinase MCK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCK1 PE=1 SV=1,5,2,7,7,14,5,0
384,>sp|P22133|MDHC_YEAST Malate dehydrogenase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDH2 PE=1 SV=2,2,-Inf,3,3,5,2,0
385,>sp|P22135|ATP12_YEAST Protein ATP12- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP12 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
386,>sp|P22137|CLH_YEAST Clathrin heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHC1 PE=1 SV=1,45,36,63,63,144,45,0
387,>sp|P22138|RPA2_YEAST DNA-directed RNA polymerase I subunit RPA135 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPA135 PE=1 SV=1,14,10,16,16,40,14,0
388,>sp|P22141|PSB4_YEAST Proteasome subunit beta type-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE1 PE=1 SV=2,4,4,10,10,18,4,0
389,>sp|P22146|GAS1_YEAST 1-3-beta-glucanosyltransferase GAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAS1 PE=1 SV=2,12,10,14,14,36,12,0
390,>sp|P22147|XRN1_YEAST 5'-3' exoribonuclease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=XRN1 PE=1 SV=1,28,28,42,42,98,28,0
391,>sp|P22202|HSP74_YEAST Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA4 PE=1 SV=3,4,5,10,10,19,4,0
392,>sp|P22203|VATE_YEAST V-type proton ATPase subunit E OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA4 PE=1 SV=4,36,32,30,36,98,36,0
393,>sp|P22213|SLY1_YEAST Protein SLY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLY1 PE=1 SV=1,-Inf,-Inf,4,4,4,-Inf,0
394,>sp|P22214|SEC22_YEAST Protein transport protein SEC22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC22 PE=1 SV=1,1,2,2,2,5,1,0
395,>sp|P22217|TRX1_YEAST Thioredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRX1 PE=1 SV=3,11,8,31,31,50,11,0
396,>sp|P22336|RFA1_YEAST Replication factor A protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RFA1 PE=1 SV=1,4,5,14,14,23,4,0
397,>sp|P22515|UBA1_YEAST Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBA1 PE=1 SV=2,65,60,81,81,206,65,0
398,>sp|P22517|KCC2_YEAST Calcium/calmodulin-dependent protein kinase II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CMK2 PE=1 SV=2,7,6,13,13,26,7,0
399,>sp|P22579|SIN3_YEAST Transcriptional regulatory protein SIN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIN3 PE=1 SV=2,5,4,5,5,14,5,0
400,>sp|P22696|ESS1_YEAST Peptidyl-prolyl cis-trans isomerase ESS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ESS1 PE=1 SV=3,6,2,5,6,13,6,0
401,>sp|P22768|ASSY_YEAST Argininosuccinate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG1 PE=1 SV=3,5,5,12,12,22,5,0
402,>sp|P22803|TRX2_YEAST Thioredoxin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRX2 PE=1 SV=3,34,32,15,34,81,34,0
403,>sp|P22804|BET1_YEAST Protein transport protein BET1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BET1 PE=1 SV=1,1,1,1,1,3,1,0
404,>sp|P22855|MAN1_YEAST Alpha-mannosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AMS1 PE=1 SV=2,6,6,9,9,21,6,0
405,>sp|P22936|APN1_YEAST DNA-(apurinic or apyrimidinic site) lyase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APN1 PE=1 SV=4,-Inf,-Inf,3,3,3,-Inf,0
406,>sp|P22943|HSP12_YEAST 12 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP12 PE=1 SV=1,33,35,29,35,97,33,0
407,>sp|P23180|AIM17_YEAST Probable oxidoreductase AIM17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM17 PE=1 SV=2,10,8,18,18,36,10,0
408,>sp|P23201|SPA2_YEAST Protein SPA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPA2 PE=1 SV=1,2,3,2,3,7,2,0
409,>sp|P23202|URE2_YEAST Transcriptional regulator URE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URE2 PE=1 SV=1,1,1,2,2,4,1,0
410,>sp|P23248|RS3A2_YEAST 40S ribosomal protein S1-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS1B PE=1 SV=3,60,52,67,67,179,60,0
411,>sp|P23254|TKT1_YEAST Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TKL1 PE=1 SV=4,50,46,65,65,161,50,0
412,>sp|P23287|PP2B1_YEAST Serine/threonine-protein phosphatase 2B catalytic subunit A1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CNA1 PE=1 SV=2,-Inf,2,2,2,4,-Inf,0
413,>sp|P23291|KC11_YEAST Casein kinase I homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCK1 PE=1 SV=1,6,-Inf,4,6,10,6,0
414,>sp|P23292|KC12_YEAST Casein kinase I homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCK2 PE=1 SV=1,2,3,13,13,18,2,0
415,>sp|P23301|IF5A1_YEAST Eukaryotic translation initiation factor 5A-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HYP2 PE=1 SV=3,18,18,23,23,59,18,0
416,>sp|P23337|GYS1_YEAST Glycogen [starch] synthase isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSY1 PE=1 SV=3,5,4,4,5,13,5,0
417,>sp|P23501|DS1P2_YEAST Dihydrosphingosine 1-phosphate phosphatase YSR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YSR3 PE=3 SV=2,1,-Inf,-Inf,1,1,1,0
418,>sp|P23542|AATC_YEAST Aspartate aminotransferase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AAT2 PE=1 SV=3,17,22,27,27,66,17,0
419,>sp|P23585|HXT2_YEAST High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXT2 PE=1 SV=1,2,2,4,4,8,2,0
420,>sp|P23595|PP2A2_YEAST Serine/threonine-protein phosphatase PP2A-2 catalytic subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPH22 PE=1 SV=1,-Inf,-Inf,6,6,6,-Inf,0
420,>sp|P23594|PP2A1_YEAST Serine/threonine-protein phosphatase PP2A-1 catalytic subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PPH21 PE=1 SV=1,4,2,-Inf,4,6,4,0
421,>sp|P23615|SPT6_YEAST Transcription elongation factor SPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPT6 PE=1 SV=1,12,13,18,18,43,12,0
422,>sp|P23638|PSA3_YEAST Proteasome subunit alpha type-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE9 PE=1 SV=1,14,13,15,15,42,14,0
423,>sp|P23639|PSA2_YEAST Proteasome subunit alpha type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE8 PE=1 SV=1,7,11,14,14,32,7,0
424,>sp|P23641|MPCP_YEAST Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIR1 PE=1 SV=1,6,4,9,9,19,6,0
425,>sp|P23644|TOM40_YEAST Mitochondrial import receptor subunit TOM40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM40 PE=1 SV=1,2,4,10,10,16,2,0
426,>sp|P23724|PSB6_YEAST Proteasome subunit beta type-6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRE7 PE=1 SV=1,10,9,12,12,31,10,0
427,>sp|P23776|EXG1_YEAST Glucan 1-3-beta-glucosidase I/II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EXG1 PE=1 SV=1,5,3,12,12,20,5,0
428,>sp|P23833|SCO1_YEAST Protein SCO1- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCO1 PE=1 SV=1,-Inf,1,-Inf,1,1,-Inf,0
429,>sp|P24000|RL24B_YEAST 60S ribosomal protein L24-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL24B PE=1 SV=1,-Inf,-Inf,28,28,28,-Inf,0
430,>sp|P24276|SSD1_YEAST Protein SSD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSD1 PE=1 SV=1,10,7,15,15,32,10,0
431,>sp|P24279|MCM3_YEAST DNA replication licensing factor MCM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MCM3 PE=1 SV=1,1,-Inf,5,5,6,1,0
432,>sp|P24280|SEC14_YEAST SEC14 cytosolic factor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEC14 PE=1 SV=3,17,12,15,17,44,17,0
433,>sp|P24521|ERG8_YEAST Phosphomevalonate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG8 PE=1 SV=2,-Inf,-Inf,2,2,2,-Inf,0
434,>sp|P24783|DBP2_YEAST ATP-dependent RNA helicase DBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DBP2 PE=1 SV=1,6,4,13,13,23,6,0
435,>sp|P25037|UBP1_YEAST Ubiquitin carboxyl-terminal hydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=UBP1 PE=1 SV=2,-Inf,-Inf,4,4,4,-Inf,0
436,>sp|P25039|EFGM_YEAST Elongation factor G- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MEF1 PE=1 SV=2,3,4,8,8,15,3,0
437,>sp|P25040|TSR4_YEAST 20S rRNA accumulation protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TSR4 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
438,>sp|P25043|PSB2_YEAST Proteasome subunit beta type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUP1 PE=1 SV=1,3,5,4,5,12,3,0
439,>sp|P25044|PTP1_YEAST Tyrosine-protein phosphatase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PTP1 PE=1 SV=1,-Inf,-Inf,1,1,1,-Inf,0
440,>sp|P25045|LCB1_YEAST Serine palmitoyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LCB1 PE=1 SV=2,2,1,6,6,9,2,0
441,>sp|P25087|ERG6_YEAST Sterol 24-C-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG6 PE=1 SV=4,16,12,22,22,50,16,0
442,>sp|P25293|NAP1_YEAST Nucleosome assembly protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAP1 PE=1 SV=2,6,5,10,10,21,6,0
443,>sp|P25294|SIS1_YEAST Protein SIS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIS1 PE=1 SV=1,18,16,23,23,57,18,0
444,>sp|P25296|CANB_YEAST Calcineurin subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CNB1 PE=1 SV=3,5,1,4,5,10,5,0
445,>sp|P25303|SCJ1_YEAST DnaJ-related protein SCJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SCJ1 PE=1 SV=2,3,2,1,3,6,3,0
446,>sp|P25332|RBSK_YEAST Ribokinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RBK1 PE=1 SV=2,1,-Inf,2,2,3,1,0
447,>sp|P25339|PUF4_YEAST Pumilio homology domain family member 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUF4 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
448,>sp|P25340|ERG4_YEAST Delta(24(24(1)))-sterol reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG4 PE=1 SV=2,1,3,4,4,8,1,0
449,>sp|P25342|CDC10_YEAST Cell division control protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC10 PE=1 SV=1,3,3,7,7,13,3,0
450,>sp|P25343|RV161_YEAST Reduced viability upon starvation protein 161 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RVS161 PE=1 SV=1,13,10,12,13,35,13,0
451,>sp|P25349|YCP4_YEAST Flavoprotein-like protein YCP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCP4 PE=1 SV=1,10,11,12,12,33,10,0
452,>sp|P25358|ELO2_YEAST Elongation of fatty acids protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ELO2 PE=1 SV=1,-Inf,-Inf,3,3,3,-Inf,0
453,>sp|P25359|RRP43_YEAST Exosome complex component RRP43 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRP43 PE=1 SV=2,2,2,3,3,7,2,0
454,>sp|P25361|YCT3_YEAST Uncharacterized protein YCR043C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCR043C PE=1 SV=1,-Inf,-Inf,3,3,3,-Inf,0
455,>sp|P25365|SED4_YEAST Putative guanine nucleotide-exchange factor SED4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SED4 PE=1 SV=1,3,3,4,4,10,3,0
456,>sp|P25367|RNQ1_YEAST [PIN+] prion protein RNQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNQ1 PE=1 SV=2,2,2,3,3,7,2,0
457,>sp|P25369|LSB5_YEAST LAS seventeen-binding protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSB5 PE=1 SV=3,1,2,3,3,6,1,0
458,>sp|P25371|ADP1_YEAST Probable ATP-dependent permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADP1 PE=1 SV=2,5,2,6,6,13,5,0
459,>sp|P25372|TRX3_YEAST Thioredoxin-3- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRX3 PE=1 SV=1,1,-Inf,1,1,2,1,0
460,>sp|P25373|GLRX1_YEAST Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GRX1 PE=1 SV=1,6,8,15,15,29,6,0
461,>sp|P25374|NFS1_YEAST Cysteine desulfurase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NFS1 PE=1 SV=2,7,6,3,7,16,7,0
462,>sp|P25375|PRTD_YEAST Saccharolysin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRD1 PE=1 SV=1,8,6,17,17,31,8,0
463,>sp|P25386|USO1_YEAST Intracellular protein transport protein USO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=USO1 PE=1 SV=2,4,3,4,4,11,4,0
464,>sp|P25441|RPC4_YEAST DNA-directed RNA polymerase III subunit RPC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPC53 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
465,>sp|P25443|RS2_YEAST 40S ribosomal protein S2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS2 PE=1 SV=3,18,20,33,33,71,18,0
466,>sp|P25451|PSB3_YEAST Proteasome subunit beta type-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PUP3 PE=1 SV=1,4,3,3,4,10,4,0
467,>sp|P25491|MAS5_YEAST Mitochondrial protein import protein MAS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDJ1 PE=1 SV=1,21,18,25,25,64,21,0
468,>sp|P25555|GBP2_YEAST Single-strand telomeric DNA-binding protein GBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GBP2 PE=1 SV=1,3,1,4,4,8,3,0
469,>sp|P25560|RER1_YEAST Protein RER1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RER1 PE=1 SV=2,-Inf,-Inf,1,1,1,-Inf,0
